song_title,RMS_energy,pulse_clarity,event_density
Adagio for Strings.wav,0.067264535,0.199463796,0.916129032
"Ah! mes amis, quel jour de fete.wav",0.121781326,0.187251183,1.806451613
Ain't Nobody.wav,0.170607056,0.351046282,4.316129032
As Time Goes By.wav,0.137901479,0.182184404,2.864516129
Ashes to Ashes.wav,0.139528164,0.56131383,3.567741935
At Last.wav,0.15634162,0.191810013,2.096774194
Beautiful Noise.wav,0.195470494,0.573667903,4.374193548
Beauty and the Beatitudes.wav,0.139943297,0.375669587,4.432258065
Billy Bragg.wav,0.111952813,0.214008931,2.548387097
Black Magic Woman.wav,0.185445066,0.249717548,3.851612903
Can't Find My Way Home.wav,0.17174629,0.195563256,2.083870968
Celebration.wav,0.108658195,0.775499441,2.064516129
Clare de Lune.wav,0.082174355,0.326628391,0.95
Comfortably Numb_EHER.wav,0.112932794,0.229792175,1.664516129
Comfortably Numb_FKEE.wav,0.116894191,0.239613861,1.38125
Copperline.wav,0.127079861,0.296336737,2.767741935
Dancing Queen.wav,0.250005316,0.471131702,3.670967742
Detroit Rock City.wav,0.170915076,0.374311936,5.109677419
Don't Stop Til You Get Enough.wav,0.149377576,0.58072322,4.903225806
Doo Doo Doo Doo Doo (Heartbreaker).wav,0.287744599,0.41536719,4.503225806
Enormous Tots.wav,0.146484717,0.208395265,2.238709677
Evergreen.wav,0.133823935,0.226717319,1.86
Fight the Good Fight.wav,0.144894028,0.309132926,4.277419355
Freewheel Burning.wav,0.250584386,0.253392554,5.464516129
Fur Elise.wav,0.13508533,0.266355316,1.896774194
Gnossienne No. 1.wav,0.040993775,0.215111983,0.341935484
Grindstone.wav,0.124219533,0.483418876,4.251612903
He Called Me Baby.wav,0.089865003,0.202498879,3.019354839
Heat Wave.wav,0.089526078,0.518128565,3.032258065
Hey Jude.wav,0.165283787,0.287153803,2.761290323
Hotel California.wav,0.172136991,0.431369857,2.38
Hurt.wav,0.147823047,0.208063086,3.077419355
I Can't Get No Satisfaction.wav,0.165662916,0.720737886,3.122580645
I Never Can Say Goodbye.wav,0.111228148,0.189524084,3.187096774
I Will.wav,0.13243516,0.302026187,1.406451613
Immigrant Song.wav,0.15023157,0.469771684,5.348387097
In the Ghetto.wav,0.109089851,0.206408592,2.722580645
Jessica.wav,0.140457129,0.408813648,5.226666667
Life on Mars.wav,0.189494713,0.212963854,3.832258065
Limelight.wav,0.153242085,0.396936004,3.948387097
Lonesome Tonight.wav,0.119984705,0.141342818,1.909677419
Long Distance Run Around.wav,0.154540587,0.30928106,3.341935484
Loving You.wav,0.113207156,0.171968097,1.361290323
Michelle.wav,0.205683208,0.280127728,3.15483871
My Old School.wav,0.115252997,0.604060319,4.174193548
Nessun Dorma.wav,0.172816466,0.400469246,3.677419355
No Regrets Non je ne regrette rien.wav,0.129787072,0.295352336,2.387096774
Norma - Casta Diva.wav,0.154353272,0.317591699,1.44516129
Ode to Billie Joel.wav,0.120210623,0.238955213,2.129032258
Once in a Lifetime.wav,0.16054555,0.620026997,3.709677419
Ordinary Just Won't Do.wav,0.219875371,0.354119665,1.793548387
Panic in Detroit_SCAE.wav,0.155674005,0.338408285,4.516129032
Panic in Detroit_GHER.wav,0.222399472,0.240759672,4.019354839
Respect.wav,0.203605267,0.391007622,3.277419355
Roundabout.wav,0.121602172,0.323910961,4.729032258
Running Up That Hill.wav,0.145648911,0.508721445,3.883870968
Should I Stay or Should I Go.wav,0.092702803,0.626239418,3.032258065
Since You've Been Gone.wav,0.112469293,0.408854606,3.658064516
Sir Duke.wav,0.12254463,0.496490953,3.2
Small Circle of Friends.wav,0.140534013,0.362774401,3.838709677
Smells Like Teen Spirit.wav,0.234945469,0.388496332,5.335483871
Something So Right.wav,0.129488594,0.497353025,1.75483871
Sonata No 8.wav,0.099607813,0.262166012,0.819354839
Stairway to Heaven.wav,0.142972682,0.407827854,4.174193548
Stay.wav,0.172164306,0.508687332,3.806451613
String Serenade No 13.wav,0.1403443,0.254001722,2.909677419
Sultans of Swing.wav,0.111778718,0.673188024,3.52
Symphony No. 6.wav,0.096409873,0.187706072,2.686666667
Take a Chance on Me.wav,0.151127747,0.738795199,2.8
That's How I Got to Memphis.wav,0.090117696,0.279339948,2.535483871
The Boxer.wav,0.119607469,0.224838835,3.309677419
The Crucifixion.wav,0.161492634,0.19654752,3.064516129
The Highway Man.wav,0.14051743,0.227837498,3.470967742
The Sound of Silence.wav,0.078485908,0.256304077,1.961290323
Tomorrow Never Knows.wav,0.221373554,0.2790652,4.116129032
Turn it on Again.wav,0.187358046,0.685706095,4.322580645
Unchained Melody.wav,0.211009031,0.159949256,2.306666667
Vicious.wav,0.121923526,0.456270973,3.367741935
WakaJawaka.wav,0.148154787,0.22379551,6.174193548
Walk on By.wav,0.114856594,0.310375218,2.735483871
What Was it You Wanted.wav,0.128189147,0.170547049,2
White Rabbit.wav,0.173935373,0.23620682,2.95483871
You Send Me.wav,0.218131177,0.178268793,1.748387097
Young at Heart.wav,0.107906302,0.20748633,1.84516129
Y.M.C.A..wav,0.175085653,0.779221722,2.832258065
You Are the Sunshine of My Life.wav,0.156939469,0.555806353,3.941935484
Footloose.wav,0.195470494,0.538108415,4.374193548
Seen the Lights Go Out on Broadway.wav,0.170195602,0.353285387,3.561290323